,name,affiliations,email,website,interests,thumbnail
167,Bojidar Galutzov,"Professor of Biophysics, Sofia University",Verified email at biofac.unisofia.bg,https://www.uni-sofia.bg/index.php/bul/universitet_t/fakulteti/biologicheski_fakultet2/katedri_i_samostoyatelni_zvena/katedri/bi,"[{'title': 'protein electroextraction', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:protein_electroextraction', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aprotein_electroextraction'}, {'title': 'membrane biophysics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:membrane_biophysics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amembrane_biophysics'}, {'title': 'biotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiotechnology'}, {'title': 'free radicals', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:free_radicals', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afree_radicals'}, {'title': 'radiobiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:radiobiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aradiobiology'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
168,Ayo Toye,"Professor, University of Ilorin, Nigeria",Verified email at unilorin.edu.ng,,"[{'title': 'Molecular and Functional Genomics/Genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:molecular_and_functional_genomics_genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amolecular_and_functional_genomics_genetics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0Na7w5AAAAAJ&citpid=1
169,Leonard C Schalkwyk,University of Essex,Verified email at essex.ac.uk,http://www.essex.ac.uk/bs/staff/profile.aspx?ID=4139,"[{'title': 'Genomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenomics'}, {'title': 'Epigenomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:epigenomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aepigenomics'}, {'title': 'Bioinformatics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bioinformatics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abioinformatics'}, {'title': 'Mouse', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:mouse', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amouse'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-kGFukkAAAAJ&citpid=3
170,Hans Rudolf Lehrach,Max Planck Institut für Molekulare Genetik,Verified email at molgen.mpg.de,https://www.molgen.mpg.de/4070897/hans-lehrach,"[{'title': 'genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenetics'}, {'title': 'genomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenomics'}, {'title': 'systems biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:systems_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asystems_biology'}, {'title': 'personalised medicine', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:personalised_medicine', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apersonalised_medicine'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
171,Jagmohan Singh,"CSIR-Institute of Microbial technology, Chandigarh, India",Verified email at pb.amity.edu,,"[{'title': 'Genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenetics'}, {'title': 'Epigenetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:epigenetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aepigenetics'}, {'title': 'chromatin structure', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:chromatin_structure', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Achromatin_structure'}, {'title': 'gene silencing', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:gene_silencing', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agene_silencing'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MJH71FwAAAAJ&citpid=1
172,Sibel Tokdemir Ozturk,"Fizik Bölümü, Gebze teknik Universitesi",Verified email at gtu.edu.tr,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
173,İrem Demir-Yilmaz,UCLouvain,Verified email at uclouvain.be,,,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VzL7CIoAAAAJ&citpid=3
174,Pınar Çalık,METU Department of Chemical Engineering,Verified email at metu.edu.tr,,"[{'title': 'Metabolic Engineering', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:metabolic_engineering', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ametabolic_engineering'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
175,Fabiane Fortes,Universidade Estadual do Paraná Paranaguá,Verified email at unespar.edu.br,,"[{'title': 'Ciências Biológicas - multidisciplinar', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:ci%C3%AAncias_biol%C3%B3gicas_multidisciplinar', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aci%25C3%25AAncias_biol%25C3%25B3gicas_multidisciplinar'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
176,Mohd Akmal Azhar,"Senior Lecturer, Universiti Malaysia Pahang Al-Sultan Abdullah",Verified email at umpsa.edu.my,,"[{'title': 'molecular biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:molecular_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amolecular_biology'}, {'title': 'nutraceutical', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nutraceutical', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Anutraceutical'}, {'title': 'microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}, {'title': 'Pharmaceutical', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:pharmaceutical', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apharmaceutical'}, {'title': 'Tablet dosage form', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:tablet_dosage_form', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Atablet_dosage_form'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=btvRJPQAAAAJ&citpid=3
177,Professor Dr. Mimi Sakinah Abdul Munaim,"Faculty of Engineering Technology, Universiti Malaysia Pahang, Malaysia",Verified email at ump.edu.my,,"[{'title': 'Separation Technology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:separation_technology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aseparation_technology'}, {'title': 'Enzyme Technology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:enzyme_technology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aenzyme_technology'}, {'title': 'Specialty Chemicals', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:specialty_chemicals', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aspecialty_chemicals'}, {'title': 'Pharmaceutical Technology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:pharmaceutical_technology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apharmaceutical_technology'}, {'title': 'Engineering Technology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:engineering_technology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aengineering_technology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QfBJzVAAAAAJ&citpid=2
178,Gregor Gorjanc,"The Roslin Institute, University of Edinburgh // Biotechnical faculty, University of Ljubljana",Verified email at roslin.ed.ac.uk,https://www.ed.ac.uk/roslin/highlanderlab,"[{'title': 'data science', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:data_science', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Adata_science'}, {'title': 'genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenetics'}, {'title': 'breeding', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:breeding', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abreeding'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iN-OfT4AAAAJ&citpid=4
179,"Franc Viktor Nekrep, Prof. Emerit.","retired Professor of Microbiology and Microbial Biotechnology, University of Ljubljana",Verified email at bfro.unilj.si,,"[{'title': 'microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}, {'title': 'biotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiotechnology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ray-MKMAAAAJ&citpid=2
180,Aiping Zheng,"PhD of Plant Protection,Sichuan Agricultural University",Verified email at sicau.edu.cn,https://www.researchgate.net/profile/Aiping_Zheng2/,"[{'title': 'Plant Protection', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:plant_protection', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aplant_protection'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=98cgrigAAAAJ&citpid=8
181,Nuno P. Mira,"Assistant Professor, Instituto Superior Técnico",Verified email at ist.utl.pt,,"[{'title': 'Biological Sciences', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biological_sciences', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiological_sciences'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0Dnh0igAAAAJ&citpid=1
182,AR Fernandes,"DCV, Faculdade de Ciencias e Tecnologia, Universidade Nova de Lisboa",Verified email at fct.unl.pt,http://www.dcv.fct.unl.pt/pessoas/docentes/maria-alexandra-nuncio-de-carvalho-ramos-fernandes,"[{'title': 'Human Genetics and Cancer Therapeutics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:human_genetics_and_cancer_therapeutics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ahuman_genetics_and_cancer_therapeutics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7ZUgRWAAAAAJ&citpid=1
183,Felix H Lam,"Massachusetts Institute of Technology, Whitehead Institute of Biomedical Research",Verified email at mit.edu,,"[{'title': 'microbial tolerance', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbial_tolerance', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobial_tolerance'}, {'title': 'synbio', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:synbio', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asynbio'}, {'title': 'fermentation', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:fermentation', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afermentation'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qjLmv8gAAAAJ&citpid=1
184,P. Lewis White,"Consultant clinical scientist PHW Mycology Ref Lab, Hon Professor Cardiff University",Verified email at wales.nhs.uk,,"[{'title': 'mycology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:mycology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amycology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5GRRsEgAAAAJ&citpid=4
185,Stephane Bretagne,Université Paris Cité,Verified email at pasteur.fr,,"[{'title': 'Microbiologie', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiologie', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiologie'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
186,Shin-Seok Lee,Unknown affiliation,Verified email at chonnam.ac.kr,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
187,Carolina Pohl,"Professor of Microbiology, University of the Free State",Verified email at ufs.ac.za,,"[{'title': 'Pathogenic yeasts', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:pathogenic_yeasts', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apathogenic_yeasts'}, {'title': 'Bioactive lipids', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bioactive_lipids', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abioactive_lipids'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tsJZQsMAAAAJ&citpid=2
188,Arunas Stirke,Center for Physical Sciences and Technology,Verified email at ftmc.lt,,"[{'title': 'Bioelectrics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bioelectrics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abioelectrics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=CUU-H2AAAAAJ&citpid=3
189,Andrius Garbaras,Center for Physical Sciences and Technology,Verified email at ftmc.lt,,"[{'title': 'Stable Isotope Ratio Mass Spectrometry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:stable_isotope_ratio_mass_spectrometry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Astable_isotope_ratio_mass_spectrometry'}, {'title': 'Aerosols', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:aerosols', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aaerosols'}, {'title': 'Source apportionment', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:source_apportionment', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asource_apportionment'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6oi9fFoAAAAJ&citpid=1
190,Shin-Seok Lee,Unknown affiliation,Verified email at chonnam.ac.kr,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
191,Hauke Harms,"Professor für Umweltmikrobiologie, Universität Leipzig",Verified email at ufz.de,http://www.ufz.de/index.php?en=13566,"[{'title': 'Mikrobielle Ökologie', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:mikrobielle_%C3%B6kologie', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amikrobielle_%25C3%25B6kologie'}, {'title': 'Mikrobiologie', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:mikrobiologie', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amikrobiologie'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0HuHrVIAAAAJ&citpid=2
192,"Wahengbam Romi, Ph.D.",CSIR-North East Institute of Science and Technology (CSIR-NEIST),Verified email at neist.res.in,,"[{'title': 'Molecular Microbial Ecology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:molecular_microbial_ecology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amolecular_microbial_ecology'}, {'title': 'Fermented Food Microbiome', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:fermented_food_microbiome', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afermented_food_microbiome'}, {'title': 'Host Microbiome', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:host_microbiome', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ahost_microbiome'}, {'title': 'Reverse Culturomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:reverse_culturomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Areverse_culturomics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qxRS8GcAAAAJ&citpid=10
193,Kumaraswamy Jeyaram,"Scientist-E, Institute of Bioresources and Sustainable Development, Imphal, India",Verified email at nic.in,http://ibsd.gov.in/dr-k-jeyaram/,"[{'title': 'Molecular microbial ecology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:molecular_microbial_ecology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amolecular_microbial_ecology'}, {'title': 'Fermented food', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:fermented_food', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afermented_food'}, {'title': 'Foodborne pathogens', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:foodborne_pathogens', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afoodborne_pathogens'}, {'title': 'Gut microbiota', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:gut_microbiota', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agut_microbiota'}, {'title': 'Functional foods', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:functional_foods', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afunctional_foods'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VSz7n6AAAAAJ&citpid=2
194,Teodora Emilia Coldea,University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca - Faculty of Food Science,Verified email at usamvcluj.ro,,"[{'title': 'Food science and technology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:food_science_and_technology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afood_science_and_technology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7S7kpKMAAAAJ&citpid=2
195,P. Lewis White,"Consultant clinical scientist PHW Mycology Ref Lab, Hon Professor Cardiff University",Verified email at wales.nhs.uk,,"[{'title': 'mycology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:mycology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amycology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5GRRsEgAAAAJ&citpid=4
196,Abozar Nasiri-Jahrodi,"Department of Pathology and Laboratory Sciences, School of Medicine North Khorasan University",Verified email at nkums.ac.ir,,"[{'title': 'Mycology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:mycology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amycology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Tbd5CjwAAAAJ&citpid=3
197,Joana Cunha,"Centre of Biological Engineering, University of Minho",Verified email at ceb.uminho.pt,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
198,Carlos E. Costa,"PhD candidate, University of Minho",Verified email at ceb.uminho.pt,http://ceb.uminho.pt/People/Profile/carloscosta,"[{'title': 'Biotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiotechnology'}, {'title': 'Metabolic engineering', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:metabolic_engineering', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ametabolic_engineering'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=b5Vyv8kAAAAJ&citpid=2
199,Aloia Romaní,"Chemical Engineering Department, University of Vigo",Verified email at uvigo.es,,"[{'title': 'Lignocellulosic Biorefinery', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:lignocellulosic_biorefinery', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Alignocellulosic_biorefinery'}, {'title': 'Biotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiotechnology'}, {'title': 'Biofuels', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biofuels', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiofuels'}, {'title': 'Saccharomyces cerevisiae', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:saccharomyces_cerevisiae', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asaccharomyces_cerevisiae'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Mbe_5oIAAAAJ&citpid=1
200,LUIS EDUARDO SEGURA GARCIA,Universidad de Guadalajara,Verified email at academicos.udg.mx,,"[{'title': 'Biotecnología', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biotecnolog%C3%ADa', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiotecnolog%25C3%25ADa'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
201,Marjorie Wilson,"University of Leeds, School of Earth & Environment",Verified email at leeds.ac.uk,,"[{'title': 'geology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:geology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ageology'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
202,David Williams,"Professor of Oral Microbiology, Cardiff University",Verified email at cf.ac.uk,https://www.cardiff.ac.uk/people/view/39506-williams-david,"[{'title': 'oral microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:oral_microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aoral_microbiology'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
203,Andreas Graner,Leibniz Institute of Plant Genetics and Crop Plant Research (IPK),Verified email at ipkgatersleben.de,http://www.ipk-gatersleben.de/,"[{'title': 'plant molecular genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:plant_molecular_genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aplant_molecular_genetics'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
204,Jerome Mounier,"Université de Brest, INRAE, Laboratoire Universitaire de Biodiversité et Écologie Microbienne",Verified email at univbrest.fr,,"[{'title': 'Microbial ecology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbial_ecology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobial_ecology'}, {'title': 'fungi', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:fungi', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afungi'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
205,Christopher Szent-Gyorgyi,Carnegie Mellon University,Verified email at andrew.cmu.edu,,"[{'title': 'Biosensors fluorescence immunology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biosensors_fluorescence_immunology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiosensors_fluorescence_immunology'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
